Code postal,departement,dep_nom,Nom de la structure,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
44000,44,Loire-Atlantique,CRIJ-CIJ,37 Rue Saint-Léonard 44000 Nantes,02 51 72 94 50,http://www.infos-jeunes.fr/,NR,NR,"Démarches administratives en ligne
Conseils",DeAd-Co,"Accompagnements individuels
Autonomie",AcIn-Au,NR,NR,NR,NR,NR,,,47.218567,-1.555306,37 Rue Saint Léonard 44000 Nantes,0.96,housenumber,44109_7672_00037,37,Rue Saint Léonard,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44000,44,Loire-Atlantique,Espace Multimedia Accoord Malakoff,Rue d'Angleterre 44000 Nantes,NR,https://www.accoord.fr//nc_centre/maison-des-haubans-csc-malakoff/,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.21476,-1.526578,Rue d'Angleterre 44000 Nantes,0.96,street,44109_0294,,Rue d'Angleterre,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44000,44,Loire-Atlantique,Bureau de la Poste Bourgneuf-en-Retz,16 Rue de la Tailée (Bourgneuf-en-Retz) 44580 Villeneuve-en-Retz,02 40 21 44 85,https://www.maisondeservicesaupublic.fr/,NR,NR,"Démarches administratives en ligne
Conseils",DeAd-Co,"Accompagnements individuels
Autonomie",AcIn-Au,Gratuit,G,NR,NR,NR,,,47.042412,-1.954083,16 Rue de la Taillée 44580 Villeneuve-en-Retz,0.67,housenumber,44021_0480_00016,16,Rue de la Taillée,,44580,Villeneuve-en-Retz,"44, Loire-Atlantique, Pays de la Loire",44021,44021,Bourgneuf-en-Retz,
44000,44,Loire-Atlantique,CCAS,1 BIS Place Saint-Similien 44000 Nantes,NR,https://www.nantes.fr/ccas,NR,NR,Conseils sur les droits sociaux,Co,,,NR,NR,NR,NR,NR,,,47.220022,-1.558402,1 bis Place Saint Similien 44000 Nantes,0.96,housenumber,44109_7748_00001_bis,1 bis,Place Saint Similien,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44000,44,Loire-Atlantique,Maison de l'emploi Malakoff,8 Rue d'Angleterre 44000 Nantes,NR,NR,NR,NR,"Démarches administratives en ligne
Conseils",DeAd-Co,"Accompagnements individuels
Autonomie",AcIn-Au,NR,NR,NR,NR,NR,,,47.214995,-1.526771,8 Rue d'Angleterre 44000 Nantes,0.96,housenumber,44109_0294_00008,8,Rue d'Angleterre,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44000,44,Loire-Atlantique,Mediagraph,1 Rue d'Auvours 44000 Nantes,02 40 12 19 12,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,47.221374,-1.563522,1 Rue d'Auvours 44000 Nantes,0.96,housenumber,44109_0480_00001,1,Rue d'Auvours,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44100,44,Loire-Atlantique,La Maison des habitants et du citoyen,1 Place des Lauriers 44100 Nantes,NR,http://mdc44800.canalblog.com/,NR,NR,"Démarches administratives en ligne
Conseils",DeAd-Co,"Accompagnements individuels
Autonomie",AcIn-Au,NR,NR,NR,NR,NR,,,47.204346,-1.604948,1 Place des Lauriers 44100 Nantes,0.96,housenumber,44109_4825_00001,1,Place des Lauriers,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44100,44,Loire-Atlantique,Centre socioculturel Bourderies,2 rue de Saint-Brevin 44100 Nantes,02 40 46 41 46,https://www.accoord.fr/nc_centre/csc-bourderies/,NR,NR,Espace multimédia,Em,NR,NR,NR,NR,NR,NR,NR,,,47.207064,-1.596413,2 Rue de Saint Brévin 44100 Nantes,0.96,housenumber,44109_7542_00002,2,Rue de Saint Brévin,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44100,44,Loire-Atlantique,Regart's association,5 Rue du Gers 44100 Nantes,02 40 85 63 27,https://www.associationregartsnantes.org/,NR,NR,Cours d'informatique,InNum,NR,NR,NR,NR,NR,NR,NR,,,47.209482,-1.604792,5 Rue du Lot 44100 Nantes,0.68,housenumber,44109_5054_00005,5,Rue du Lot,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
44100,44,Loire-Atlantique,Maison de l'emploi Bellevue,46 Boulevard Jean Moulin 44100 Nantes,02 51 80 41 51,https://www.me-metropole-nantaise.org/atelier_lieu/bellevue/,NR,NR,Découverte de l'ordinateur. Découverte d'internet. Boite mail.,InNum,NR,NR,NR,NR,NR,NR,NR,,,47.205877,-1.601532,46 Boulevard Jean Moulin 44100 Nantes,0.96,housenumber,44109_4503_00046,46,Boulevard Jean Moulin,,44100,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
